id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HPDL	HPDL	82.0590560402747	-2.84374974268874	0.502852672332342	-5.65523442382995	1.55633705110355e-08	9.7512297936893e-05
CASC9	CASC9	135.86298513899	-2.83427461586065	0.593801757694449	-4.77309906738113	1.81412497142343e-06	0.00216502857303877
OOEP	OOEP	26.9853175524321	-2.76135180320483	0.575993952947027	-4.79406387701919	1.63436196337006e-06	0.00216502857303877
INHA	INHA	181.311598968989	-2.70160546153387	0.589043700539891	-4.58642620073467	4.5089768254038e-06	0.0045201590879308
RCOR2	RCOR2	236.784462362155	-2.69114433899721	0.512302163321154	-5.25304113797032	1.49608103599003e-07	0.000535639756056886
CPS1	CPS1	5072.75282140615	-2.6539796629647	0.594876027510144	-4.46139958618427	8.14260984818983e-06	0.00583057394329525
DDX43	DDX43	111.803243326979	-2.65342186681644	0.523052840714944	-5.07295183253295	3.91691672244867e-07	0.000981657668980085
S100A7	S100A7	7.44027869700327	-2.60251989048575	0.594722494574606	-4.37602396786301	1.20863730102147e-05	0.00745901892131227
KRT81	KRT81	461.639219127894	-2.56716778160221	0.564501843325646	-4.54766943979894	5.42432450218383e-06	0.00495103839131566
LRRTM4	LRRTM4	15.1007520738098	-2.52177880410932	0.521623459668314	-4.83448119015362	1.33493325972942e-06	0.00216502857303877
RSPO3	RSPO3	490.644271746156	-2.50179214882361	0.516961634923774	-4.83941549974496	1.30221543453845e-06	0.00216502857303877
HIST1H2AD	HIST1H2AD	15.2871471722807	-2.48593154094035	0.553819298276323	-4.4887051583024	7.16573933638903e-06	0.00583026851037623
UCHL1	UCHL1	2450.42333611087	-2.38337171597496	0.545559157790416	-4.36867694720389	1.25001514123021e-05	0.00745901892131227
AC084262.1	AC084262.1	3.60745290127509	-2.37626813409092	0.560956042113449	-4.23610400048127	2.27431469306223e-05	0.0119658713617722
CNTD2	CNTD2	179.452679260687	-2.36838457806633	0.527792034919496	-4.48734429731889	7.21164806566368e-06	0.00583026851037623
LINC02588	LINC02588	32.9168535886722	-2.36410802800099	0.600595810476217	-3.93627126057784	8.27574256993162e-05	0.0272903500378456
C8orf74	C8orf74	9.71939205569259	-2.33306468470644	0.599095695734591	-3.89431054390354	9.84784241179609e-05	0.0298352892663322
CYCSP6	CYCSP6	7.3317487259131	-2.3121864561593	0.600527749806162	-3.85025747254083	0.000117993719413782	0.0324962483071232
HIST1H4E	HIST1H4E	6.82704881329842	-2.30414455995028	0.557016437342927	-4.13658270291174	3.52516338687353e-05	0.0163606749633008
KRT6A	KRT6A	1957.73408031549	-2.27517110384803	0.558022139319647	-4.07720580158697	4.55801467709558e-05	0.0187267153831753
ERVH48-1	ERVH48-1	150.282162733271	-2.27124075903784	0.599799373429263	-3.78666744190205	0.000152681223378432	0.0378178098887338
S100P	S100P	11908.3303724488	-2.2673958100322	0.589886141311817	-3.84378552272792	0.000121150896286435	0.0327432708622079
LINC01502	LINC01502	11.1237765379543	-2.25665714626602	0.596263174353613	-3.78466630731032	0.000153914955256996	0.0378178098887338
ELFN1-AS1	ELFN1-AS1	12.1294957422067	-2.22890721255011	0.550185340596933	-4.05119338536322	5.09570692255648e-05	0.0199544698270485
KLK8	KLK8	46.434930439956	-2.22574745940693	0.60056230551985	-3.70610582607296	0.000210470385217198	0.0458597297014299
AC079949.2	AC079949.2	38.7026608836625	-2.21181117672957	0.54504267159894	-4.05805140034447	4.94838781499981e-05	0.0196851580030993
