Code.Class,Name,Accession,RS.03.01,RS.04.02,RS.05.03,RS.06.04,RS.07.05,RS.10.07,RS.14.10,RS.8.06,RS.12.08,RS.13.09,RS.27.11,C17.4391.01,S11.9079.04,S14.13175.05,S16.11876.07,S16.12149.02,S16.7664.10,S17.11109.03,S17.12681.09,S17.13314.11,S17.14478,S17.15075,S15.7571.10,S16.10650.08,S17.10269.06,S17.13154.04,S17.13167.05,S17.2562.02,S17.2629.03,S17.3112.12,S17.4686.07,S17.5395.01,S17.7410.09,S15.12525.08,S16.178.01,S17.10830.05,S17.12359.02,S17.2694.07,S17.2752.06,S17.7133.04,S17.8422.03
Endogenous,A2M,NM_000014.4,107,808,1753,789,5054,2204,6540,2612,1290,4809,1975,94,2810,2027,334,405,809,833,910,2084,1576,2832,1512,4666,2175,2867,715,2402,783,1346,2008,1353,1557,1906,1519,2616,2223,2729,2003,1821,1557
Endogenous,ABCB1,NM_000927.3,201,189,1359,153,491,41,349,157,31,147,72,81,209,108,26,69,13,63,99,73,53,75,47,468,61,145,75,89,24,125,87,84,72,29,96,309,211,198,551,2596,3476
Endogenous,ABL1,NM_005157.3,120,237,372,609,380,464,548,502,286,605,433,113,430,654,99,61,44,383,164,585,101,325,531,388,447,779,754,435,378,312,775,610,794,694,539,925,276,494,572,1165,914
Endogenous,ADA,NM_000022.2,134,29,176,117,100,139,210,243,102,130,112,56,44,52,12,73,7,274,59,369,45,111,155,112,90,364,80,134,33,114,124,244,316,94,395,168,135,116,58,107,156
Endogenous,ADORA2A,NM_000675.3,106,19,73,40,33,54,132,131,55,92,23,155,52,33,23,56,6,18,67,65,47,23,29,46,37,92,33,50,34,208,50,72,80,18,55,93,60,51,22,30,45
Endogenous,AICDA,NM_020661.1,4,5,8,10,10,15,16,6,12,8,7,11,26,12,5,1,3,3,2,9,2,2,3,6,2,5,4,11,2,6,13,9,2,13,6,8,3,5,1,8,6
Endogenous,AIRE,NM_000383.2,215,12,73,21,5,13,164,103,15,34,8,8,24,7,8,57,2,11,56,38,27,7,6,7,6,19,5,11,6,50,21,37,14,11,10,29,9,5,19,32,11
Endogenous,AKT3,NM_181690.1,157,104,215,166,386,235,834,347,261,628,495,577,705,324,83,110,41,318,135,442,92,212,1203,280,425,1062,66,210,576,209,649,511,1459,154,442,928,560,321,265,326,482
Endogenous,ALCAM,NM_001627.3,19,72,95,534,448,1348,259,173,529,1522,614,498,272,1152,592,21,131,1039,262,2493,52,433,2389,958,650,1071,4188,1647,1180,141,1424,1606,474,3902,239,259,906,691,358,832,613
Endogenous,AMBP,NM_001633.3,74,23,54,17,11155,140,84,60,28,12,26,7,9,8,247,40,9,14,24,8,30,10,10,25,21,22,16,12,241,26,23,59,25,37,6,29,12835,21,49,34,16
Endogenous,AMICA1,NM_153206.2,148,124,316,243,635,118,580,272,558,450,201,2404,383,358,61,86,60,192,154,139,80,277,158,516,786,553,101,418,293,285,212,187,191,90,332,624,206,202,217,125,169
Endogenous,ANP32B,NM_006401.2,156,555,1286,2995,1455,1347,1653,2128,1635,1277,816,1123,693,1335,505,127,83,1236,398,2095,150,612,3348,926,1122,2521,2641,1778,1577,1440,2241,2095,5287,2257,1426,1332,2285,1014,2455,3452,5250
Endogenous,ANXA1,NM_000700.1,122,410,856,2536,5101,1863,2814,4045,1313,3517,2571,3890,1722,2780,1951,490,261,32679,4050,15636,667,3671,44191,5305,6631,14418,39688,18804,735,988,8686,21498,13263,1007,2569,2647,7812,1704,1011,1153,1231
Endogenous,APOE,NM_000041.2,1086,3022,659,780,19202,9018,2941,5211,2797,9662,1667,818,1624,6198,3326,312,1193,2083,1324,5556,181,2037,587,21800,2784,2555,3587,3095,1809,6620,3467,1215,9129,5303,3272,2805,8978,5516,488,5901,1242
Endogenous,APP,NM_000484.3,62,1806,4369,7616,8356,2308,4939,5771,4397,5353,4660,868,2175,6562,1142,186,364,7713,1290,4699,879,2187,6838,4836,3525,6090,4897,1528,5422,2696,7679,5621,5288,7724,6638,5273,3511,4911,5310,10018,5904
Endogenous,ARG1,NM_000045.2,69,4,7,8,652,11,135,49,183,29,13,5,1,3,17,62,3,20,35,27,15,4,4,6,25,28,9,6,5,137,9,45,38,7,6,41,1257,4,50,3,7
Endogenous,ARG2,NM_001172.3,46,52,39,327,41,26,150,53,52,82,69,13,248,30,20,32,10,33,31,89,24,15,100,44,27,112,18,70,33,40,131,121,173,74,86,52,48,84,66,270,116
Endogenous,ATF1,NM_005171.2,18,155,366,403,221,398,382,283,197,291,152,53,114,144,54,19,13,206,51,299,32,105,583,247,187,464,196,411,241,180,341,197,275,430,325,169,238,211,285,524,481
Endogenous,ATF2,NM_001256090.1,12,232,469,815,440,1362,536,526,438,627,748,258,275,518,154,44,47,386,156,727,76,271,448,486,483,1004,1389,623,528,377,917,522,746,1078,642,502,365,531,462,773,872
Endogenous,ATG10,NM_001131028.1,70,20,115,142,109,242,155,75,104,99,67,43,44,59,27,30,13,79,51,161,24,37,299,92,93,195,90,103,93,109,159,175,123,161,203,96,103,85,74,115,123
Endogenous,ATG12,NM_004707.2,121,21,68,21,42,55,85,94,47,69,34,13,13,17,24,30,6,29,35,49,13,30,343,28,36,111,24,66,52,89,81,67,55,30,55,60,32,44,72,41,36
Endogenous,ATG16L1,NM_198890.2,111,177,289,352,470,830,503,304,337,450,255,122,176,734,135,69,19,374,117,485,54,100,417,228,224,692,559,453,283,295,606,447,425,870,298,286,200,298,678,456,776
Endogenous,ATG5,NM_004849.2,760,109,235,259,405,956,656,864,258,416,212,73,141,289,117,72,28,450,112,326,75,181,418,253,239,611,487,437,247,261,634,433,623,542,511,350,498,275,419,528,893
